date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value
20230206,61600,5,-2200,-3.45,15523623,3968601,506229,-391,-2274628,3011898262,50.45,119409,340210,21178
20230203,63800,2,300,0.47,14853606,-1732710,-5403872,422680,3382430,3014053481,50.49,-372650,350881,22385
20230202,63500,2,1700,2.75,23173276,-4780382,-3547816,2807914,2315269,3011043701,50.44,2902059,241187,15287
20230201,61800,2,800,1.31,17218723,369617,-1423983,-849119,911979,3005826373,50.35,-605809,1076929,66338
20230131,61000,5,-2300,-3.63,28338772,5198171,4319514,-4006375,-2784287,3005520203,50.35,-4022420,129038,7929
20230130,63300,5,-1300,-2.01,19189053,81811,-1862153,408789,1184659,3012326910,50.46,379389,316230,20247
20230127,64600,2,700,1.10,18185551,-6131507,-1335284,4055168,1775555,3010762862,50.43,3934203,363158,23485
20230126,63900,2,500,0.79,13278277,-3441185,-2719768,922426,2663007,3005053104,50.34,811026,226304,14422
20230125,63400,2,1600,2.59,16822710,-7609753,-3171513,4132807,3336405,3001579071,50.28,3232807,411718,26117
20230120,61800,2,300,0.49,9646327,-1647820,-632505,776148,759602,2995009859,50.17,466148,369298,22767
20230119,61500,2,1100,1.82,12808490,-3306867,-4468845,1738928,3046155,2993784109,50.15,226928,146159,8933
20230118,60400,5,-600,-0.98,11584041,676096,-32525,1121390,-861522,2990511026,50.09,2064545,221495,13382
20230117,61000,5,-100,-0.16,9831456,-501323,-1668377,63331,1062508,2989308003,50.07,-137669,127686,7778
20230116,61100,2,300,0.49,10039972,-2191273,846751,832942,255767,2988383164,50.06,795342,295961,18153
20230113,60800,2,300,0.50,12510328,-2053815,-255482,700832,689564,2987332055,50.04,683632,346163,21056
20230112,60500,3,0,0.00,16102561,-102651,-1032935,2240355,-513889,2985958859,50.02,1985355,279621,16905
20230111,60500,2,100,0.17,12310751,-736992,264002,-300734,420498,2984487393,49.99,543661,107478,6524
20230110,60400,5,-300,-0.49,14859797,-1567197,249456,-77956,691809,2983523234,49.98,-490956,95927,5806
20230109,60700,2,1700,2.88,18640107,-5668129,1087624,1533243,1520221,2983322381,49.97,2100279,295508,17802
20230106,59000,2,800,1.37,17334989,-2748381,25410,1924329,383969,2979701881,49.91,2191329,601589,35299
20230105,58200,2,400,0.69,15682826,-1307161,-3098024,2642965,879693,2977126583,49.87,2206315,468912,27263
20230104,57800,2,2400,4.33,20188071,-3014290,-1755190,1503688,1596476,2974040575,49.82,2043451,497002,28291
20230103,55400,5,-100,-0.18,13547030,1259769,-2012200,-130133,438436,2970400648,49.76,5057067,144370,7947
20230102,55500,2,200,0.36,10031448,1062403,-1088078,-1224052,609955,2964905145,49.67,-1044572,108675,6060
20221229,55300,5,-1300,-2.30,11295935,3368914,-1702581,-1352193,-174520,2965339762,49.67,-1162193,54834,3061
20221228,56600,5,-1500,-2.58,14665410,5152760,-1226007,-1822992,-1118104,2966676475,49.69,-2294325,253396,14367
20221227,58100,2,200,0.35,10667027,-2726295,4852945,-1279858,-247525,2970088904,49.75,-1329858,101878,5924
20221226,57900,5,-200,-0.34,6756411,-1249408,2812089,-769268,-299761,2971666287,49.78,-434283,111438,6451
20221223,58100,5,-1000,-1.69,9829407,68957,525979,-250339,-119897,2972400331,49.79,-5621839,820807,47610
20221222,59100,2,1100,1.90,10720630,-1503341,1414618,-1978029,1123301,2978142067,49.89,-2197529,583513,34218
20221221,58000,5,-600,-1.02,10356971,1483820,970168,-967613,-729675,2979216295,49.90,-1821784,177131,10314
20221220,58600,5,-900,-1.51,9284761,1322670,1235954,-512528,-1030813,2981767754,49.95,-647528,170264,10009
20221219,59500,3,0,0.00,7696187,-382143,1022614,285814,-449669,2983446095,49.98,-585204,225200,13380
20221216,59500,2,200,0.34,13033596,386012,-4077202,1370044,1160321,2984480968,49.99,1056894,750272,44321
20221215,59300,5,-1200,-1.98,8716039,1523458,-1577752,-93918,68946,2982263753,49.96,-95418,188824,11266
20221214,60500,2,800,1.34,8207485,-2348381,-537666,-125031,1514402,2982290225,49.96,-442531,251650,15180
20221213,59700,2,200,0.34,9040873,27305,226316,136378,-204160,2981218354,49.94,878700,374449,22339
20221212,59500,5,-900,-1.49,9036472,1296914,356129,164408,-906037,2980543814,49.93,459086,52831,3147
20221209,60400,2,1200,2.03,10529632,-2425184,2712621,658031,-456380,2980990765,49.93,1041054,405085,24282
20221208,59200,2,300,0.51,12986815,244242,879548,200076,-663673,2980406091,49.92,290076,484358,28570
20221207,58900,5,-300,-0.51,12100662,804106,1024794,-463001,-686220,2980779688,49.93,-230261,340418,20104
20221206,59200,5,-1100,-1.82,13888300,2747545,-1051807,-2218646,266080,2981696169,49.95,-3224846,161246,9609
20221205,60300,5,-100,-0.17,13767787,1120118,3021242,623696,-2388520,2984654935,50.00,-89254,430629,26017
20221202,60400,5,-2200,-3.51,15331184,4446140,705164,262956,-2749440,2987132709,50.04,1157956,442359,27054
20221201,62600,2,400,0.64,16631445,-3479331,-2493121,400224,2726257,2988724193,50.06,317088,1246192,78222
20221130,62200,2,1600,2.64,19768903,-3060362,-6309867,1491158,4082380,2985680848,50.01,1440158,889298,54853
20221129,60600,2,500,0.83,7014160,-341037,371796,-513337,239448,2980158310,49.92,-195937,428078,25744
20221128,60100,5,-900,-1.48,8589032,1033736,-1225652,290784,-88393,2980114799,49.92,488082,179828,10806
20221125,61000,5,-400,-0.65,6677933,-14737,-816315,-14458,435594,2979715110,49.91,215342,231363,14128
20221124,61400,2,400,0.66,8125010,-558200,-600551,-81992,655146,2979064174,49.90,-1653308,228258,13978
20221123,61000,2,400,0.66,8765050,-317260,19438,-23665,140995,2980062336,49.92,1113835,242728,14800
20221122,60600,5,-800,-1.30,9411289,282185,1191500,628942,-1048647,2978807506,49.90,-162675,342240,20792
