,date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value
164,20221123,61000,2,400,0.66,8765050,14348818,-17694920,1878734,-10461276,2980062336,49.92,8458028,39189124,2275168
165,20221122,60600,5,-800,-1.30,9411289,14666078,-17855353,1761404,-10602271,2978807506,49.90,7203198,38846884,2254375
166,20221121,61400,5,-400,-0.65,9378097,14383893,-17998206,2181109,-9553624,2980018828,49.92,8414520,38474166,2231587
167,20221118,61800,2,400,0.65,12236503,14111745,-18740769,3203908,-9181221,2979841397,49.92,8237089,38146390,2211315
168,20221117,61400,5,-1300,-2.07,13298296,14896133,-18817699,2498412,-10103791,2978984149,49.90,7379841,37779327,2188687
169,20221116,62700,2,300,0.48,12909260,13161067,-18919919,4344916,-8986809,2981350139,49.94,9745831,37564692,2175304
170,20221115,62400,2,500,0.81,12310986,14085551,-18837471,3295350,-10229338,2980895380,49.93,9291072,37387579,2164329
171,20221114,61900,5,-1000,-1.59,15973416,14880452,-19012561,2644792,-10737677,2980267822,49.92,8663514,36804160,2128149
172,20221111,62900,2,2500,4.14,20037163,13857068,-18206646,2852282,-10273145,2980121987,49.92,8517679,35684984,2057944
173,20221110,60400,5,-1600,-2.58,21087633,19993161,-21519660,-109353,-14101427,2977008864,49.87,5404556,35125617,2023834
174,20221109,62000,2,200,0.32,14045592,16983466,-22425366,3880207,-11579236,2980729398,49.93,9125090,34592481,1990799
175,20221108,61800,2,1600,2.66,18273898,19077246,-24214444,3612026,-10947633,2979458873,49.91,7854565,34172510,1964933
176,20221107,60200,2,800,1.35,12437246,24123699,-26553890,725455,-11539480,2976678983,49.86,5074675,33810094,1943147
177,20221104,59400,2,200,0.34,12445841,26357171,-27778293,-208946,-11456244,2975313782,49.84,3709474,33286585,1912240
178,20221103,59200,5,-400,-0.67,17492162,26376094,-27997072,2172,-10876052,2976921806,49.87,5317498,32676039,1876417
179,20221102,59600,5,-400,-0.67,13202919,25387806,-25557590,-1422191,-10395175,2975526943,49.84,3922635,32262073,1851709
180,20221101,60000,2,600,1.01,17201647,25421588,-23839958,-2914940,-11363027,2973881288,49.82,2276980,31310033,1794721
181,20221031,59400,2,2100,3.66,18999514,27192038,-24814248,-3603380,-11730591,2973209179,49.80,1604871,30990041,1775766
182,20221028,57300,5,-2200,-3.70,20924937,31513437,-25069167,-7767189,-13747648,2969111795,49.74,-2492513,30406954,1741969
183,20221027,59500,2,100,0.17,21756712,29803791,-25927816,-5218703,-11457846,2970251911,49.75,-1352397,28985498,1657332
184,20221026,59400,2,1700,2.95,20824967,31479429,-27853389,-4869589,-11379540,2970280340,49.76,-1323968,28185982,1610431
