date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value,shcode
20200214,7560,2,20,0.27,18480842,-1401570,1198336,198929,0,1414069,5.34,198929,0,0,251340
20200213,7540,2,5,0.07,21521579,1572399,-1474800,-74514,0,1215140,4.34,-74514,0,0,251340
20200212,7535,5,-35,-0.46,14187024,1065934,-1233307,177314,0,1289654,4.79,177314,0,0,251340
20200211,7570,5,-80,-1.05,14951488,-752964,1118302,-362622,0,1112340,4.21,-362622,0,0,251340
20200210,7650,5,-55,-0.71,22726137,751835,-1120231,292026,0,1474962,5.61,292026,0,0,251340
20200207,7705,2,10,0.13,23211871,990579,-870358,-128729,0,1182936,4.53,-128729,0,0,251340
20200206,7695,5,-175,-2.22,20115286,197274,-308285,100045,0,1311665,5.16,100045,0,0,251340
20200205,7870,2,20,0.25,28000766,-257433,291597,-7431,0,1211620,4.59,-7431,0,0,251340
20200204,7850,5,-160,-2.00,24081680,1229635,-1139352,-80438,0,1219051,4.71,-80438,0,0,251340
20200203,8010,5,-120,-1.48,41042321,-124598,-2750,40776,0,1299489,4.87,40776,0,0,251340
20200131,8130,2,135,1.69,33523558,-193670,-54973,143473,0,1258713,4.79,143473,0,0,251340
20200130,7995,2,175,2.24,23321434,-777540,837301,-83360,0,1115240,4.18,-83360,0,0,251340
20200129,7820,5,-95,-1.20,19182020,1035962,-694042,-72036,0,1198600,4.56,-72036,0,0,251340
20200128,7915,2,290,3.80,26193237,-1357867,1292629,-91485,0,1270636,4.91,-91485,0,0,251340
20200123,7625,2,75,0.99,18461840,-13980,-230046,258205,0,1362121,5.32,258205,0,0,251340
20200122,7550,5,-170,-2.20,16687319,358413,-149174,-197586,0,1103916,4.25,-197586,0,0,251340
20200121,7720,2,110,1.45,22714538,-376070,209710,60495,0,1301502,4.87,60495,0,0,251340
20200120,7610,2,65,0.86,15658234,-598238,619893,19956,0,1241007,4.85,19956,0,0,251340
20200117,7545,2,5,0.07,12786359,-391518,449010,-42393,0,1221051,4.90,-42393,0,0,251340
20200116,7540,5,-85,-1.11,21846614,714055,-764316,55184,0,1263444,5.16,55184,0,0,251340
