date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value
20201117,5385,2,75,1.41,47852744,-831746,1020158,-158331,0,6405513,6.46,-158331,0,0
20201116,5310,5,-60,-1.12,37656289,-3583166,2302368,1155858,0,6563844,6.51,1155858,0,0
20201113,5370,5,-25,-0.46,62372507,899673,-742015,-505046,0,5407986,5.26,-505046,0,0
20201112,5395,2,25,0.47,51577901,-268632,948623,-634103,0,5913032,5.63,-634103,0,0
20201111,5370,5,-35,-0.65,62726510,-1984451,1509336,542341,0,6547135,6.06,442341,0,0
20201110,5405,2,110,2.08,60586488,-64794,1134131,-1215121,0,6104794,5.54,-1215121,0,0
20201109,5295,5,-75,-1.40,48763548,-4059027,2238064,1767375,0,7319915,6.56,1667375,0,0
20201106,5370,2,105,1.99,85506833,-2492368,2794709,-179152,0,5652540,4.97,-179152,0,0
20201105,5265,5,-100,-1.86,55155162,-1120309,721097,-40270,0,5831692,5.04,-40270,0,0
20201104,5365,5,-125,-2.28,121398189,-1024113,916611,359695,0,5871962,5.02,359695,0,0
20201103,5490,5,-120,-2.14,97754903,-1526343,1482741,219644,0,5512267,4.54,219644,0,0
20201102,5610,5,-90,-1.58,94491868,-1114656,1386041,-244675,0,5292623,4.40,-244675,0,0
20201030,5700,2,215,3.92,121780820,-4960168,4784861,896821,0,5537298,4.72,896821,0,0
20201029,5485,5,-110,-1.97,151345006,398815,851899,98834,0,4640477,4.27,198834,0,0
20201028,5595,5,-185,-3.20,105647969,6004460,-5031690,-1000435,0,4441643,4.12,-1000435,0,0
20201027,5780,5,-80,-1.37,145806682,3173830,-6278189,3088017,0,5442078,5.06,3088017,0,0
20201026,5860,2,210,3.72,96561750,2841280,-1404684,-1508334,0,2354061,2.20,-1508334,0,0
20201023,5650,2,25,0.44,97792688,971887,-1392107,480131,0,3862395,3.60,480131,0,0
20201022,5625,2,175,3.21,66085404,1064794,-771967,-417051,0,3382264,3.13,-517051,0,0
20201021,5450,5,-50,-0.91,79104513,840173,-165547,-541651,0,3899315,3.58,-541651,0,0
20201020,5500,5,-55,-0.99,93516030,-1293912,668115,541439,0,4440966,4.15,541439,0,0
20201019,5555,2,65,1.18,71736466,-2336820,1923677,324757,0,3899527,3.70,324757,0,0
20201016,5490,2,50,0.92,79824710,1156870,-1171997,87835,0,3574770,3.39,87835,0,0
20201015,5440,2,125,2.35,67791742,1372158,-1605217,-163719,0,3486935,3.30,-163719,0,0
20201014,5315,2,105,2.02,44495970,383580,376855,-813424,0,3650654,3.45,-813424,0,0
20201013,5210,2,40,0.77,35830195,-1884309,1442724,94628,0,4464078,4.23,94628,0,0
20201012,5170,5,-25,-0.48,25251028,342032,277382,-654936,0,4369450,4.20,-654936,0,0
20201008,5195,2,5,0.10,30610524,-2512528,1853931,695502,0,5024386,4.80,695502,0,0
20201007,5190,5,-35,-0.67,48892401,3440433,-3314602,-175885,0,4328884,4.08,-275885,0,0
20201006,5225,2,15,0.29,31104630,915362,41587,-971443,0,4604769,4.37,-971443,0,0
20201005,5210,5,-65,-1.23,39855121,196026,-2247056,2058248,0,5576212,5.49,2058248,0,0
20200929,5275,5,-60,-1.12,50908892,-2335432,3948411,-1427900,0,3517964,3.56,-1427900,0,0
20200928,5335,5,-240,-4.30,53794229,3159366,-4764518,1805684,0,4945864,4.82,1805684,0,0
20200925,5575,5,-5,-0.09,74431777,1006277,26309,-1496130,0,3140180,3.01,-1496130,0,0
20200924,5580,2,275,5.18,79152101,-4453541,4435526,-109319,0,4636310,4.46,-109319,0,0
20200923,5305,5,-15,-0.28,86623927,-815328,220301,-266755,0,4745629,4.51,-266755,0,0
20200922,5320,2,170,3.30,78315154,-3968538,2956591,1086958,0,5012384,4.78,986958,0,0
20200921,5150,2,150,3.00,51387954,-1402345,2241407,-705105,0,4025426,3.86,-705105,0,0
20200918,5000,5,-70,-1.38,43154624,-562515,-1786781,2338091,0,4730531,4.56,2238091,0,0
20200917,5070,2,90,1.81,54641428,1199257,169741,-1432512,0,2492440,2.45,-1332512,0,0
20200916,4980,2,15,0.30,35570099,-260088,23840,281882,0,3824952,3.72,281882,0,0
20200915,4965,5,-60,-1.19,26007245,2151315,-1819274,-183429,0,3543070,3.42,-183429,0,0
20200914,5025,5,-40,-0.79,17345828,-965972,702638,302260,0,3726499,3.60,302260,0,0
20200911,5065,3,0,0.00,37690293,1209360,-628019,-872752,0,3424239,3.32,-772752,0,0
20200910,5065,5,-65,-1.27,22543507,-359921,750126,-235219,0,4196991,4.09,-335219,0,0
20200909,5130,2,90,1.79,34137097,-1231222,1448669,-594236,0,4532210,4.54,-494236,0,0
20200908,5040,5,-25,-0.49,34169599,-2428671,28630,2517217,0,5026446,5.30,2617217,0,0
20200907,5065,5,-80,-1.55,32351662,3392466,-3365388,-37192,0,2409229,2.51,-37192,0,0
20200904,5145,2,85,1.68,51297213,4859748,-4359586,-405949,0,2446421,2.64,-305949,0,0
20200903,5060,5,-15,-0.30,17120383,-1324855,913596,408790,0,2752370,3.00,508790,0,0
20200902,5075,5,-120,-2.31,31673663,4019996,-4019415,-44947,0,2243580,2.45,-44947,0,0
20200901,5195,5,-15,-0.29,27178056,1805999,-1114397,-393069,0,2288527,2.47,-393069,0,0
20200831,5210,5,-30,-0.57,34606678,272677,155141,13694,0,2681596,2.91,13694,0,0
20200828,5240,5,-50,-0.95,45038965,-951620,893622,425410,0,2667902,2.94,425410,0,0
20200827,5290,2,30,0.57,40449127,255009,-184014,-338936,0,2242492,2.48,-338936,0,0
20200826,5260,5,-5,-0.09,48522898,862168,-1319801,427290,0,2581428,2.88,527290,0,0
20200825,5265,5,-120,-2.23,33594064,1662018,-1104078,-544273,0,2054138,2.26,-544273,0,0
20200824,5385,5,-175,-3.15,41660860,2607699,-2829864,116836,0,2598411,2.88,16836,0,0
20200821,5560,5,-25,-0.45,64985147,-935080,1327900,-347930,0,2581575,2.91,-247930,0,0
20200820,5585,2,175,3.23,74493399,-1402760,828121,1030240,0,2829505,3.17,1030240,0,0
20200819,5410,5,-120,-2.17,48321376,3047063,-2638407,-520798,0,1799265,1.99,-520798,0,0
